"Strain","Uptake_Reactions","Secretion_Reactions","Total_Exchanged"
"Bacteroides_cellulosilyticus_DSM_14838",31,11,42
"Bacteroides_cellulosilyticus_ERR1022414",56,12,68
"Bacteroides_cellulosilyticus_ERR2221108",55,14,69
"Bacteroides_cellulosilyticus_ERR2221262",53,13,66
"Bacteroides_cellulosilyticus_ERR2221326",56,14,70
"Bacteroides_cellulosilyticus_ERR2230100",53,13,66
"Bacteroides_cellulosilyticus_WH2",41,15,56
"Bacteroides_clarus_ERR2221196",40,16,56
"Bacteroides_clarus_ERR2221286",54,13,67
"Bacteroides_clarus_ERR2230074",53,14,67
"Bacteroides_clarus_YIT_12056",37,16,53
"Bacteroides_coprocola_M16_DSM_17136",31,13,44
"Bacteroides_coprophilus_DSM_18228",33,15,48
"Bacteroides_dorei_CL02T00C15",40,23,63
"Bacteroides_dorei_CL02T12C06",39,24,63
"Bacteroides_dorei_CL03T12C01",38,24,62
"Bacteroides_dorei_DSM_17855",30,14,44
"Bacteroides_dorei_ERR2221252",29,15,44
"Bacteroides_dorei_ERR2230082",29,15,44
"Bacteroides_eggerthii_1_2_48FAA",26,10,36
"Bacteroides_eggerthii_DSM_20697",28,14,42
"Bacteroides_faecis_ERR1022362",51,13,64
"Bacteroides_faecis_ERR1203949",51,12,63
"Bacteroides_faecis_ERR1204043",51,12,63
"Bacteroides_faecis_ERR2221133",48,12,60
"Bacteroides_faecis_MAJ27",44,16,60
"Bacteroides_finegoldii_DSM_17565",31,12,43
"Bacteroides_finegoldii_ERR1022298",50,16,66
"Bacteroides_finegoldii_ERR1022319",53,14,67
"Bacteroides_fluxus_YIT_12057",39,12,51
"Bacteroides_fragilis_3_1_12",36,14,50
"Bacteroides_fragilis_638R",42,14,56
"Bacteroides_fragilis_BOB25",40,23,63
"Bacteroides_fragilis_CL03T00C08",51,32,83
"Bacteroides_fragilis_CL03T12C07",51,32,83
"Bacteroides_fragilis_CL05T00C42",54,32,86
"Bacteroides_fragilis_CL05T12C13",54,32,86
"Bacteroides_fragilis_CL07T00C01",51,29,80
"Bacteroides_fragilis_CL07T12C05",50,29,79
"Bacteroides_fragilis_ERR1022457",46,18,64
"Bacteroides_fragilis_ERR1203962",41,20,61
"Bacteroides_fragilis_ERR1204056",41,25,66
"Bacteroides_fragilis_ERR2221134",39,20,59
"Bacteroides_fragilis_ERR2221268",40,19,59
"Bacteroides_fragilis_ERR2221298",42,21,63
"Bacteroides_fragilis_ERR2230126",41,20,61
"Bacteroides_fragilis_ERR2230137",42,20,62
"Bacteroides_fragilis_HMW_610",47,30,77
"Bacteroides_fragilis_HMW_615",47,28,75
"Bacteroides_fragilis_HMW_616",47,31,78
"Bacteroides_fragilis_NCTC_9343",43,17,60
"Bacteroides_fragilis_YCH46",43,17,60
"Bacteroides_fragilis_str_3397_T10",48,22,70
"Bacteroides_fragilis_str_3986_T_B_9",42,20,62
"Bacteroides_fragilis_str_DS_208",41,19,60
"Bacteroides_intestinalis_341_DSM_17393",31,11,42
"Bacteroides_intestinalis_KLE1704",56,14,70
"Bacteroides_massiliensis_B84634",41,17,58
"Bacteroides_nordii_CL02T12C05",42,12,54
"Bacteroides_nordii_ERR2221135",53,14,67
"Bacteroides_ovatus_3_8_47FAA",47,35,82
"Bacteroides_ovatus_ATCC_8483",36,16,52
"Bacteroides_ovatus_CL02T12C04",48,33,81
"Bacteroides_ovatus_CL03T12C18",51,36,87
"Bacteroides_ovatus_ERR1203959",39,18,57
"Bacteroides_ovatus_ERR1204053",40,19,59
"Bacteroides_ovatus_ERR2221136",38,19,57
"Bacteroides_ovatus_ERR2230063",47,20,67
"Bacteroides_ovatus_SD_CC_2a",37,15,52
"Bacteroides_ovatus_SD_CMC_3f",36,18,54
"Bacteroides_pectinophilus_ATCC_43243",48,14,62
"Bacteroides_plebeius_M12_DSM_17135",33,14,47
"Bacteroides_rodentium_JCM_16496",35,12,47
"Bacteroides_salyersiae_CL02T12C01",44,26,70
"Bacteroides_salyersiae_ERR1022329",54,13,67
"Bacteroides_salyersiae_WAL_10018",38,13,51
"Bacteroides_stercoris_ATCC_43183",27,14,41
"Bacteroides_stercoris_CC31F",39,25,64
"Bacteroides_stercoris_ERR1203945",52,18,70
"Bacteroides_stercoris_ERR1204039",52,17,69
"Bacteroides_stercoris_ERR2230062",53,19,72
"Bacteroides_stercoris_ERR2230094",54,16,70
"Bacteroides_stercoris_ERR2230103",53,18,71
"Bacteroides_stercoris_ERR2230124",52,18,70
"Bacteroides_stercoris_ERR2230142",54,20,74
"Bacteroides_stercoris_ERR2230162",51,17,68
"Bacteroides_thetaiotaomicron_3731",44,21,65
"Bacteroides_thetaiotaomicron_7330",38,14,52
"Bacteroides_thetaiotaomicron_CL09T03C10",51,22,73
"Bacteroides_thetaiotaomicron_ERR1022331",36,18,54
"Bacteroides_thetaiotaomicron_ERR1022413",36,13,49
"Bacteroides_thetaiotaomicron_ERR1022459",45,13,58
"Bacteroides_thetaiotaomicron_ERR2221264",36,19,55
"Bacteroides_thetaiotaomicron_ERR2221274",37,19,56
"Bacteroides_thetaiotaomicron_ERR2221312",45,18,63
"Bacteroides_thetaiotaomicron_ERR2230081",36,19,55
"Bacteroides_thetaiotaomicron_VPI_5482",41,16,57
"Bacteroides_thetaiotaomicron_dnLKV9",44,27,71
"Bacteroides_uniformis_ATCC_8492",32,12,44
"Bacteroides_uniformis_CL03T00C23",47,29,76
"Bacteroides_uniformis_CL03T12C37",47,29,76
"Bacteroides_uniformis_ERR1022271",57,16,73
"Bacteroides_uniformis_ERR1022322",57,16,73
"Bacteroides_uniformis_ERR1022360",54,17,71
"Bacteroides_uniformis_ERR1022363",59,16,75
"Bacteroides_uniformis_ERR1022412",53,15,68
"Bacteroides_uniformis_ERR1203944",54,16,70
"Bacteroides_uniformis_ERR1204038",56,17,73
"Bacteroides_uniformis_ERR2221138",54,14,68
"Bacteroides_uniformis_ERR2221253",43,14,57
"Bacteroides_uniformis_ERR2221261",43,15,58
"Bacteroides_uniformis_ERR2221281",56,16,72
"Bacteroides_uniformis_ERR2230106",45,12,57
"Bacteroides_uniformis_ERR2230119",43,14,57
"Bacteroides_uniformis_ERR2230138",44,13,57
"Bacteroides_uniformis_ERR2230139",44,15,59
"Bacteroides_uniformis_ERR2230141",43,16,59
"Bacteroides_uniformis_ERR2230143",44,14,58
"Bacteroides_uniformis_ERR2230159",44,15,59
"Bacteroides_uniformis_ERR2230160",45,12,57
"Bacteroides_uniformis_dnLKV2",45,32,77
"Bacteroides_uniformis_str_3978_T3_i",56,25,81
"Bacteroides_vulgatus_ATCC_8482",45,15,60
"Bacteroides_vulgatus_CL09T03C04",44,26,70
"Bacteroides_vulgatus_ERR1022358",34,17,51
"Bacteroides_vulgatus_ERR1022411",40,18,58
"Bacteroides_vulgatus_ERR1022458",35,15,50
"Bacteroides_vulgatus_ERR1203951",37,16,53
"Bacteroides_vulgatus_ERR1204045",35,13,48
"Bacteroides_vulgatus_ERR2221206",34,18,52
"Bacteroides_vulgatus_ERR2221254",33,19,52
"Bacteroides_vulgatus_ERR2221256",33,22,55
"Bacteroides_vulgatus_ERR2221259",33,19,52
"Bacteroides_vulgatus_ERR2221267",32,18,50
"Bacteroides_vulgatus_ERR2221272",33,16,49
"Bacteroides_vulgatus_ERR2221273",34,18,52
"Bacteroides_vulgatus_ERR2221276",36,17,53
"Bacteroides_vulgatus_ERR2230079",32,16,48
"Bacteroides_vulgatus_ERR2230086",30,16,46
"Bacteroides_vulgatus_ERR2230091",35,15,50
"Bacteroides_vulgatus_ERR2230095",34,17,51
"Bacteroides_vulgatus_ERR2230128",33,19,52
"Bacteroides_vulgatus_ERR2230134",33,18,51
"Bacteroides_vulgatus_ERR2230150",34,17,51
"Bacteroides_vulgatus_PC510",47,27,74
"Bacteroides_vulgatus_dnLKV7",45,27,72
"Bacteroides_vulgatus_mpk",34,17,51
"Bacteroides_xylanisolvens_CL03T12C04",43,27,70
"Bacteroides_xylanisolvens_ERR1022297",46,18,64
"Bacteroides_xylanisolvens_ERR2221139",41,18,59
"Bacteroides_xylanisolvens_ERR2221366",37,16,53
"Bacteroides_xylanisolvens_ERR2230096",36,12,48
"Bacteroides_xylanisolvens_ERR2230097",36,12,48
"Bacteroides_xylanisolvens_SD_CC_1b",37,14,51
"Bacteroides_xylanisolvens_XB1A",38,14,52
"Barnesiella_intestinihominis_ERR1203957",39,15,54
"Barnesiella_intestinihominis_ERR1204051",40,16,56
"Barnesiella_intestinihominis_ERR2221140",40,17,57
"Barnesiella_intestinihominis_ERR2230085",40,15,55
"Barnesiella_intestinihominis_YIT_11860",40,10,50
"Bifidobacterium_adolescentis_ATCC_15703",45,12,57
"Bifidobacterium_adolescentis_BBMN23",48,11,59
"Bifidobacterium_adolescentis_DSM_20087",53,16,69
"Bifidobacterium_adolescentis_ERR1022283",48,11,59
"Bifidobacterium_adolescentis_ERR1022320",48,11,59
"Bifidobacterium_adolescentis_ERR1022366",48,11,59
"Bifidobacterium_adolescentis_ERR1203960",48,11,59
"Bifidobacterium_adolescentis_ERR2221193",48,12,60
"Bifidobacterium_adolescentis_ERR2221322",48,11,59
"Bifidobacterium_adolescentis_ERR2230053",51,13,64
"Bifidobacterium_adolescentis_ERR2230077",48,11,59
"Bifidobacterium_adolescentis_ERR2230153",48,11,59
"Bifidobacterium_adolescentis_L2_32",54,20,74
"Bifidobacterium_angulatum_DSM_20098",42,11,53
"Bifidobacterium_angulatum_GT102",44,12,56
"Bifidobacterium_animalis_ERR2221337",44,11,55
"Bifidobacterium_animalis_ERR2221385",45,11,56
"Bifidobacterium_animalis_RH",50,10,60
"Bifidobacterium_animalis_lactis_AD011",38,9,47
"Bifidobacterium_animalis_lactis_BB_12",44,13,57
"Bifidobacterium_animalis_lactis_Bi_07",43,13,56
"Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219",46,12,58
"Bifidobacterium_animalis_lactis_CNCM_I_2494",46,11,57
"Bifidobacterium_animalis_lactis_DSM_10140",46,12,58
"Bifidobacterium_animalis_lactis_V9",46,10,56
"Bifidobacterium_animalis_subsp_animalis_ATCC_25527",49,16,65
"Bifidobacterium_animalis_subsp_animalis_ATCC_27672",44,10,54
"Bifidobacterium_animalis_subsp_animalis_YL2",51,9,60
"Bifidobacterium_animalis_subsp_lactis_B420",47,18,65
"Bifidobacterium_animalis_subsp_lactis_BLC1",48,18,66
"Bifidobacterium_animalis_subsp_lactis_BS_01",48,18,66
"Bifidobacterium_animalis_subsp_lactis_HN019",47,18,65
"Bifidobacterium_bifidum_156B",47,15,62
"Bifidobacterium_bifidum_ATCC_29521",50,17,67
"Bifidobacterium_bifidum_BGN4",50,16,66
"Bifidobacterium_bifidum_ERR1022335",46,15,61
"Bifidobacterium_bifidum_LMG_13195",60,30,90
"Bifidobacterium_bifidum_NCIMB_41171",43,11,54
"Bifidobacterium_bifidum_PRL2010",49,15,64
"Bifidobacterium_bifidum_S17",52,15,67
"Bifidobacterium_breve_12L",53,17,70
"Bifidobacterium_breve_2L",53,17,70
"Bifidobacterium_breve_689b",53,17,70
"Bifidobacterium_breve_ACS_071_V_Sch8b",53,19,72
"Bifidobacterium_breve_CECT_7263",50,20,70
"Bifidobacterium_breve_DPC_6330",52,19,71
"Bifidobacterium_breve_DSM_20213",53,21,74
"Bifidobacterium_breve_ERR2230051",50,14,64
"Bifidobacterium_breve_HPH0326",50,15,65
"Bifidobacterium_breve_JCM_7017",52,17,69
"Bifidobacterium_breve_JCM_7019",52,19,71
"Bifidobacterium_breve_MCC_0121",53,17,70
"Bifidobacterium_breve_MCC_0305",54,18,72
"Bifidobacterium_breve_MCC_0476",53,17,70
"Bifidobacterium_breve_MCC_1094",52,17,69
"Bifidobacterium_breve_MCC_1114",54,17,71
"Bifidobacterium_breve_MCC_1128",52,17,69
"Bifidobacterium_breve_MCC_1340",51,19,70
"Bifidobacterium_breve_MCC_1454",53,18,71
"Bifidobacterium_breve_MCC_1604",52,17,69
"Bifidobacterium_breve_MCC_1605",54,18,72
"Bifidobacterium_breve_NCFB_2258",53,17,70
"Bifidobacterium_breve_UCC2003_NCIMB8807",50,14,64
"Bifidobacterium_catenulatum_DSM_16992",40,11,51
"Bifidobacterium_dentium_ATCC_27678",52,15,67
"Bifidobacterium_dentium_ATCC_27679",52,21,73
"Bifidobacterium_dentium_Bd1",56,21,77
"Bifidobacterium_dentium_JCM_1195_DSM_20436",52,14,66
"Bifidobacterium_dentium_JCVIHMP022",49,14,63
"Bifidobacterium_longum_BG7",46,13,59
"Bifidobacterium_longum_BXY01",46,13,59
"Bifidobacterium_longum_DJO10A",50,16,66
"Bifidobacterium_longum_E18",47,15,62
"Bifidobacterium_longum_ERR2221141",51,13,64
"Bifidobacterium_longum_ERR2221351",51,14,65
"Bifidobacterium_longum_ERR2221409",51,14,65
"Bifidobacterium_longum_ERR2230052",51,15,66
"Bifidobacterium_longum_ERR2230120",52,13,65
"Bifidobacterium_longum_ERR2230133",51,14,65
"Bifidobacterium_longum_ERR2230158",51,14,65
"Bifidobacterium_longum_NCC2705",44,12,56
"Bifidobacterium_longum_infantis_157F_NC",45,16,61
"Bifidobacterium_longum_infantis_ATCC_15697",41,12,53
"Bifidobacterium_longum_longum_ATCC_55813",44,12,56
"Bifidobacterium_longum_longum_BBMN68",48,12,60
"Bifidobacterium_longum_longum_CCUG_52486",50,17,67
"Bifidobacterium_longum_longum_JCM_1217",48,18,66
"Bifidobacterium_longum_longum_JDM301",48,15,63
"Bifidobacterium_longum_subsp_infantis_BT1",48,14,62
"Bifidobacterium_longum_subsp_longum_1_6B",54,16,70
"Bifidobacterium_longum_subsp_longum_2_2B",50,10,60
"Bifidobacterium_longum_subsp_longum_35B",53,13,66
"Bifidobacterium_longum_subsp_longum_44B",53,22,75
"Bifidobacterium_longum_subsp_longum_CMCC_P0001",49,14,63
"Bifidobacterium_longum_subsp_longum_F8",54,17,71
"Bifidobacterium_longum_subsp_longum_KACC_91563",56,19,75
"Bifidobacterium_longum_subsp_longum_NCIMB8809",44,14,58
"Bifidobacterium_pseudocatenulatum_DSM_20438",36,11,47
"Bifidobacterium_pseudocatenulatum_ERR1022356",48,11,59
"Bifidobacterium_pseudocatenulatum_ERR1203976",48,11,59
"Bifidobacterium_pseudocatenulatum_ERR1204070",49,11,60
"Bifidobacterium_pseudocatenulatum_ERR2221142",48,11,59
"Bifidobacterium_pseudocatenulatum_IPLA36007",46,14,60
"Bifidobacterium_ruminantium_DSM_6489",49,11,60
"Bilophila_wadsworthia_3_1_6",36,10,46
"Bilophila_wadsworthia_ATCC_49260",48,16,64
"Blautia_faecis_ERR2221099",49,10,59
"Blautia_hansenii_VPI_C7_24_DSM_20583",39,10,49
"Blautia_hydrogenotrophica_DSM_10507",39,13,52
"Blautia_hydrogenotrophica_ERR1022315",44,10,54
"Blautia_luti_DSM_14534",49,12,61
"Blautia_luti_ERR1022337",45,9,54
"Blautia_luti_ERR1022379",44,8,52
"Blautia_luti_ERR1022471",45,11,56
"Blautia_luti_ERR1203942",47,11,58
"Blautia_luti_ERR2221098",44,11,55
"Blautia_producta_DSM_2950",44,13,57
"Blautia_producta_ERR171261",44,11,55
"Blautia_producta_ERR2221380",49,11,60
"Blautia_wexlerae_AGR2146",46,12,58
"Blautia_wexlerae_DSM_19850",51,10,61
"Blautia_wexlerae_ERR1022296",45,11,56
"Blautia_wexlerae_ERR1022377",44,11,55
"Blautia_wexlerae_ERR1022425",47,12,59
"Blautia_wexlerae_ERR1204036",46,11,57
"Blautia_wexlerae_ERR2230049",49,11,60
"Butyricicoccus_pullicaecorum_1_2",48,12,60
"Butyricimonas_synergistica_DSM_23225",42,14,56
"Butyricimonas_virosa_DSM_23226",41,12,53
"Butyricimonas_virosa_ERR2221144",39,13,52
"Butyrivibrio_crossotus_DSM_2876",36,9,45
"Butyrivibrio_fibrisolvens_16_4",40,8,48
"Campylobacter_concisus_13826",45,6,51
"Campylobacter_concisus_UNSWCD",41,8,49
"Campylobacter_hominis_ATCC_BAA_381",35,5,40
"Catabacter_hongkongensis_HKU16",46,10,56
"Catenibacterium_mitsuokai_DSM_15897",38,8,46
"Catenibacterium_mitsuokai_ERR1022284",43,12,55
"Catenibacterium_mitsuokai_ERR2221198",46,10,56
"Cetobacterium_somerae_ATCC_BAA_47401",53,16,69
"Christensenella_minuta_DSM_22607",48,13,61
"Citrobacter_freundii_4_7_47CFAA",44,20,64
"Citrobacter_freundii_ATCC_8090",51,16,67
"Citrobacter_freundii_ERR2221339",48,18,66
"Citrobacter_freundii_FDAARGOS_61",49,18,67
"Citrobacter_freundii_FDAARGOS_73",47,20,67
"Citrobacter_freundii_GTC_09479",52,18,70
"Citrobacter_freundii_GTC_09629",48,22,70
"Citrobacter_freundii_UCI_31",50,15,65
"Citrobacter_freundii_str_ballerup_7851_39",49,20,69
"Cloacibacillus_evryensis_DSM_19522",45,11,56
"Clostridium_asparagiforme_DSM_15981",51,13,64
"Clostridium_bartlettii_DSM_16795",42,14,56
"Clostridium_bifermentans_ATCC_19299",52,18,70
"Clostridium_bolteae_90A5",47,14,61
"Clostridium_bolteae_90A9",43,14,57
"Clostridium_bolteae_90B3",43,15,58
"Clostridium_bolteae_90B7",44,16,60
"Clostridium_bolteae_90B8",44,12,56
"Clostridium_bolteae_ATCC_BAA_613",41,10,51
"Clostridium_bolteae_WAL_14578",49,13,62
"Clostridium_butyricum_5521",48,15,63
"Clostridium_butyricum_60E_3",53,19,72
"Clostridium_butyricum_DKU_01",52,13,65
"Clostridium_butyricum_DSM_10702",48,17,65
"Clostridium_butyricum_E4_str_BoNT_E_BL5262",51,23,74
"Clostridium_cadaveris_AGR2141",51,20,71
"Clostridium_citroniae_WAL_17108",53,22,75
"Clostridium_clostridioforme_2_1_49FAA",51,14,65
"Clostridium_clostridioforme_90A1",55,9,64
"Clostridium_clostridioforme_90A3",48,9,57
"Clostridium_clostridioforme_90A4",55,10,65
"Clostridium_clostridioforme_90A6",51,12,63
"Clostridium_clostridioforme_90A7",47,12,59
"Clostridium_clostridioforme_90A8",52,15,67
"Clostridium_clostridioforme_90B1",50,10,60
"Clostridium_clostridioforme_CM201",55,21,76
"Clostridium_clostridioforme_YL32",45,10,55
"Clostridium_glycolicum_ATCC_14880",54,15,69
"Clostridium_hathewayi_12489931",56,20,76
"Clostridium_hathewayi_DSM_13479",44,16,60
"Clostridium_hathewayi_WAL_18680",48,11,59
"Clostridium_hiranonis_TO_931_DSM_13275",40,14,54
"Clostridium_hylemonae_DSM_15053",35,12,47
"Clostridium_innocuum_2959",50,16,66
"Clostridium_innocuum_I46",44,11,55
"Clostridium_leptum_DSM_753",38,10,48
"Clostridium_methylpentosum_R2_DSM_5476",33,9,42
"Clostridium_nexile_DSM_1787",39,11,50
"Clostridium_paraputrificum_AGR2156",53,16,69
"Clostridium_paraputrificum_ERR1022469",45,16,61
"Clostridium_perfringens_ATCC_13124",59,23,82
"Clostridium_perfringens_B_str_ATCC_3626",51,23,74
"Clostridium_perfringens_CPE_str_F4969",50,21,71
"Clostridium_perfringens_C_str_JGS1495",52,19,71
"Clostridium_perfringens_D_str_JGS1721",46,25,71
"Clostridium_perfringens_E_str_JGS1987",54,28,82
"Clostridium_perfringens_F262",45,24,69
"Clostridium_perfringens_NCTC_8239",46,24,70
"Clostridium_perfringens_SM101",59,25,84
"Clostridium_perfringens_WAL_14572",44,20,64
"Clostridium_perfringens_str_13",47,24,71
"Clostridium_ramosum_VPI_0427_DSM_1402",36,11,47
"Clostridium_saccharogumia_DSM_17460",47,12,59
"Clostridium_sartagoforme_AAU1",54,21,75
"Clostridium_scindens_ATCC_35704",36,9,45
"Clostridium_spiroforme_DSM_1552",37,7,44
"Clostridium_sporosphaeroides_DSM_1294",53,17,70
"Clostridium_symbiosum_ATCC_14940",52,19,71
"Clostridium_symbiosum_WAL_14163",39,13,52
"Clostridium_symbiosum_WAL_14673",42,16,58
"Clostridium_tertium_Gcol_A43_Gcol_A43_1",50,12,62
"Clostridium_viride_DSM_6836",43,13,56
"Collinsella_aerofaciens_ATCC_25986",40,11,51
"Collinsella_aerofaciens_ERR1022282",50,14,64
"Collinsella_aerofaciens_ERR1022300",47,14,61
"Collinsella_aerofaciens_ERR1022416",47,14,61
"Collinsella_aerofaciens_ERR1203940",48,13,61
"Collinsella_aerofaciens_ERR1204034",48,13,61
"Collinsella_aerofaciens_ERR2221153",48,13,61
"Collinsella_aerofaciens_ERR2230078",48,13,61
"Collinsella_aerofaciens_ERR2230087",47,13,60
"Collinsella_aerofaciens_ERR2230090",48,14,62
"Collinsella_aerofaciens_ERR2230102",48,13,61
"Collinsella_aerofaciens_ERR2230112",48,13,61
"Collinsella_aerofaciens_ERR2230122",47,13,60
"Collinsella_aerofaciens_ERR2230127",48,13,61
"Collinsella_aerofaciens_ERR2230140",47,13,60
"Collinsella_aerofaciens_ERR2230145",48,14,62
"Collinsella_aerofaciens_ERR2230147",47,13,60
"Collinsella_aerofaciens_ERR2230156",48,13,61
"Collinsella_intestinalis_DSM_13280",40,13,53
"Collinsella_massiliensis_An5",48,9,57
"Collinsella_stercoris_DSM_13279",43,13,56
"Collinsella_tanakaei_YIT_12063",56,24,80
"Coprobacillus_cateniformis_D6",41,10,51
"Coprobacter_fastidiosus_NSB1",41,11,52
"Coprococcus_catus_ERR2221258",41,13,54
"Coprococcus_catus_GD_7",51,18,69
"Coprococcus_comes_ATCC_27758",34,13,47
"Coprococcus_comes_ERR1022290",45,16,61
"Coprococcus_comes_ERR1022354",44,16,60
"Coprococcus_comes_ERR1022382",44,16,60
"Coprococcus_comes_ERR1022427",45,16,61
"Coprococcus_comes_ERR1022476",45,16,61
"Coprococcus_comes_ERR1204042",44,17,61
"Coprococcus_eutactus_ATCC_27759",36,12,48
"Coprococcus_eutactus_ERR1022287",41,12,53
"Coprococcus_eutactus_ERR1022301",40,12,52
"Coprococcus_eutactus_ERR1022346",40,12,52
"Coprococcus_eutactus_ERR1022477",39,11,50
"Coprococcus_eutactus_ERR1203946",38,13,51
"Coprococcus_eutactus_ERR1204040",40,12,52
"Coprococcus_eutactus_ERR2221154",40,11,51
"Corynebacterium_durum_F0235",47,9,56
"Cronobacter_sakazakii_2151",48,14,62
"Cronobacter_sakazakii_680",53,12,65
"Cronobacter_sakazakii_696",51,13,64
"Cronobacter_sakazakii_701",48,11,59
"Cronobacter_sakazakii_ATCC_BAA_894",49,12,61
"Cronobacter_sakazakii_E764",51,13,64
"Cronobacter_sakazakii_ES15",53,14,67
"Cronobacter_sakazakii_ES35",48,15,63
"Cronobacter_sakazakii_ES713",49,14,63
"Cronobacter_sakazakii_SP291",48,15,63
"Desulfovibrio_desulfuricans_subsp_aestuarii_DSM_17919_ATCC_29578",51,21,72
"Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642",40,11,51
"Desulfovibrio_desulfuricans_subsp_desulfuricans_str_ATCC_27774",47,12,59
"Desulfovibrio_desulfuricans_subsp_desulfuricans_str_G20",52,19,71
"Desulfovibrio_piger_ATCC_29098",38,6,44
"Dialister_invisus_DSM_15470",48,12,60
"Dialister_micraerophilus_DSM_19965",47,9,56
"Dialister_pneumosintes_F0677",46,11,57
"Dialister_succinatiphilus_YIT_11850",49,11,60
"Dorea_formicigenerans_4_6_53AFAA",44,12,56
"Dorea_formicigenerans_ATCC_27755",49,14,63
"Dorea_formicigenerans_ERR1022384",46,12,58
"Dorea_formicigenerans_ERR1203975",43,10,53
"Dorea_formicigenerans_ERR1204069",45,12,57
"Dorea_formicigenerans_ERR2221255",46,13,59
"Dorea_formicigenerans_ERR2221257",47,11,58
"Dorea_formicigenerans_ERR2221275",47,11,58
"Dorea_formicigenerans_ERR2230157",46,13,59
"Dorea_longicatena_DSM_13814",34,12,46
"Dorea_longicatena_ERR1022309",44,11,55
